,Unnamed: 0,P,1G,2G,A,SH,SOG,GB,TCH,PAS,GID,TID,CT,OTID,SA,SV,PS%
48,J. Anderson,1.75,1.25,0.0,0.5,3.5,2.25,2.0,17.0,12.25,10.5,6.0,7.0,4.5,14.5,10.0,47.6
49,J. Bernhardt,0.5,0.25,0.0,0.25,0.75,0.25,1.75,8.0,7.25,16.25,6.5,6.5,4.25,13.25,11.0,45.825
50,J. Byrne,3.0,1.2,0.0,1.8,5.2,3.2,1.2,29.0,21.8,8.2,5.0,5.8,4.2,11.2,13.4,43.68
51,J. Carraway,1.0,1.0,0.0,0.0,3.25,2.25,1.0,18.0,14.5,9.5,2.0,10.0,4.0,11.25,12.75,43.925
52,J. Conners,0.3333333333333333,0.3333333333333333,0.0,0.0,1.3333333333333333,0.6666666666666666,2.6666666666666665,6.666666666666667,4.666666666666667,14.333333333333334,8.0,8.333333333333334,4.333333333333333,13.333333333333334,13.333333333333334,45.333333333333336
53,J. Donville,0.0,0.0,0.0,0.0,2.0,1.0,0.0,20.0,14.0,14.0,3.0,10.0,1.0,9.0,11.0,48.6
54,J. Hannah,2.5,2.0,0.0,0.5,8.5,4.5,1.5,22.0,13.0,18.0,2.0,7.5,4.0,10.0,12.5,47.6
55,J. Heningburg,2.0,1.4,0.0,0.6,2.8,2.8,0.8,27.2,23.2,8.2,5.0,5.8,4.2,11.2,13.4,43.68
56,J. Kelly,0.0,0.0,0.0,0.0,1.0,0.0,1.0,26.0,25.0,5.0,8.0,5.0,5.0,12.0,12.0,48.9
57,J. Koras,1.0,1.0,0.0,0.0,3.3333333333333335,2.6666666666666665,3.0,14.0,10.333333333333334,14.666666666666666,7.0,6.0,2.3333333333333335,14.0,12.333333333333334,49.23333333333333
58,J. Morrill,2.3333333333333335,0.6666666666666666,0.0,1.6666666666666667,2.0,2.0,1.0,13.0,9.666666666666666,8.0,7.0,6.666666666666667,3.0,14.666666666666666,12.0,48.93333333333334
59,J. Myers,2.0,1.5,0.0,0.5,5.5,3.5,1.0,35.5,29.0,4.5,6.0,6.5,3.0,16.5,10.0,50.099999999999994
60,J. Nardella,0.5,0.5,0.0,0.0,2.0,1.5,9.0,13.0,9.5,10.5,7.0,7.0,3.5,12.5,14.0,47.8
61,J. Piseno,0.25,0.0,0.0,0.25,1.25,1.25,3.0,10.0,8.0,10.5,6.0,7.0,4.5,14.5,10.0,47.6
62,J. Richard,0.5,0.0,0.0,0.5,0.5,0.5,1.0,6.0,5.5,8.5,2.0,10.0,3.0,9.0,10.5,46.75
63,J. Rowlett,1.0,0.0,0.5,0.0,1.0,1.0,2.0,9.0,7.0,6.5,5.0,6.0,3.5,10.0,13.5,44.0
64,J. Stevens,1.5,1.5,0.0,0.0,4.0,2.0,0.5,11.0,7.0,15.5,4.0,6.5,6.5,10.0,14.0,43.45
65,J. Teat,7.333333333333333,3.3333333333333335,0.0,4.0,7.833333333333333,5.833333333333333,2.3333333333333335,44.333333333333336,34.333333333333336,9.166666666666666,4.0,6.5,6.0,12.0,13.166666666666666,46.083333333333336
66,J. Trainor,1.0,0.5,0.0,0.5,1.25,0.75,1.5,8.5,7.0,13.25,3.0,7.0,3.75,11.75,12.25,46.625
67,J. Zawada,2.0,1.25,0.0,0.75,5.0,4.0,1.25,31.75,25.0,10.5,6.0,7.0,4.5,14.5,10.0,47.6
68,K. Jackson,1.0,0.8,0.0,0.2,2.2,1.6,0.8,13.6,10.4,8.2,5.0,5.8,4.2,11.2,13.4,43.68
69,K. Khan,0.5,0.5,0.0,0.0,2.5,2.5,1.0,16.0,13.5,6.0,7.0,6.5,3.5,15.0,11.5,46.099999999999994
70,K. McArdle,4.2,2.6,0.0,1.6,8.4,5.2,1.8,38.6,28.4,11.6,2.0,9.4,3.8,11.8,12.8,45.28
71,K. Smith,1.25,0.0,0.5,0.25,1.25,1.25,1.0,5.0,3.75,8.75,4.0,5.0,6.0,11.0,14.25,45.925000000000004
72,K. Winkoff,1.3333333333333333,0.3333333333333333,0.0,1.0,3.6666666666666665,1.6666666666666667,0.6666666666666666,14.666666666666666,9.333333333333334,14.666666666666666,7.0,6.0,2.3333333333333335,14.0,12.333333333333334,49.23333333333333
73,L. Anderson,3.0,1.5,0.0,1.5,5.5,3.5,1.0,24.0,17.5,16.0,7.0,5.5,2.5,14.0,12.0,46.55
74,L. Byrnes,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,8.5,6.5,2.0,11.0,4.0,13.5,13.0,44.9
